1;China;1367485388
2;Afghanistan;32564342
3;ýýgypten;88487396
4;Albanien;3029278
5;Algerien;39542166
6;Amerikanische_Jungferninseln;103574
7;Amerikanisch-Samoa;54343
8;Andorra;85580
9;Angola;19625353
10;Anguilla;16418
11;Antigua_und_Barbuda;92436
12;ýýquatorialguinea;740743
13;Argentinien;43431886
14;Armenien;3056382
15;Aruba;112162
16;Aserbaidschan;9780780
17;ýýthiopien;99465819
18;Australien;22751014
19;Bahamas;324597
20;Bahrain;1346613
21;Bangladesch;168957745
22;Barbados;290604
23;Belarus;9589689
24;Belgien;11323973
25;Belize;347369
26;Benin;10448647
27;Bermuda;70196
28;Bhutan;741919
29;Bolivien;10800882
30;Bosnien_und_Herzegowina;3867055
31;Botsuana;2182719
32;Brasilien;204259812
33;Britische_Jungferninseln;33454
34;Brunei_Darussalam;429646
35;Bulgarien;7186893
36;Burkina_Faso;18931686
37;Burundi;10742276
38;Chile;17508260
39;Cookinseln;9838
40;Costa_Rica;4814144
41;Cï¿½ï¿½ï¿½ï¿½ï¿;23295302
42;Curaï¿½ï;146836
43;Dï¿½ï¿½ï¿;5581503
44;Deutschland;80854408
45;Dominica;73607
46;Dominikanische_Republik;10478756
47;Dschibuti;828324
48;Ecuador;15868396
49;El_Salvador;6141350
50;Eritrea;6527689
51;Estland;1265420
52;Falklandinseln;3361
53;Fï¿½ï¿½ï;50196
54;Fidschi;909389
55;Finnland;5476922
56;Frankreich;66553766
57;Franzï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;282703
58;Gabun;1705336
59;Gambia;1967709
60;Gazastreifen;1869055
61;Georgien;4931226
62;Ghana;26327649
63;Gibraltar;29258
64;Grenada;110694
65;Griechenland;10775643
66;Grï¿½ï¿½ï;57733
67;Groï¿½ï¿½ï¿½ï¿½;64088222
68;Guam;161785
69;Guatemala;14918999
70;Guernsey;66080
71;Guinea;11780162
72;Guinea-Bissau;1726170
73;Guyana;735222
74;Haiti;10110019
75;Honduras;8746673
76;Hongkong;7141106
77;Indien;1251695584
78;Indonesien;255993674
79;Insel_Man;87545
80;Irak;37056169
81;Iran;81824270
82;Irland;4892305
83;Island;331918
84;Israel;8049314
85;Italien;61855120
86;Jamaika;2950210
87;Japan;126919659
88;Jemen;26737317
89;Jersey;97294
90;Jordanien;8117564
91;Kaimaninseln;56092
92;Kambodscha;15708756
93;Kamerun;23739218
94;Kanada;35099836
95;Kap_Verde;545993
96;Kasachstan;18157122
97;Katar;2194817
98;Kenia;45925301
99;Kirgisistan;5664939
100;Kiribati;105711
101;Kokosinseln_(Keelinginseln);596
102;Kolumbien;46736728
103;Komoren;780971
104;Kongo;4755097
105;Kongo,_Demokratische_Republik;79375136
106;Korea,_Demokratische_Volksrepublik;24983205
107;Korea,_Republik;49115196
108;Kosovo;1870981
109;Kroatien;4464844
110;Kuba;11031433
111;Kuwait;2788534
112;Laos;6911544
113;Lesotho;1947701
114;Lettland;1986705
115;Libanon;6184701
116;Liberia;4195666
117;Libyen;6411776
118;Liechtenstein;37624
119;Litauen;2884433
120;Luxemburg;570252
121;Macau;592731
122;Madagaskar;23812681
123;Malawi;17964697
124;Malaysia;30513848
125;Malediven;393253
126;Mali;16955536
127;Malta;413965
128;Marokko;33322699
129;Marshallinseln;72191
130;Mauretanien;3596702
131;Mauritius;1339827
132;Mazedonien;2096015
133;Mexiko;121736809
134;Mikronesien;105216
135;Moldau;3546847
136;Monaco;30535
137;Mongolei;2992908
138;Montenegro;647073
139;Montserrat;5241
140;Mosambik;25303113
141;Myanmar;56320206
142;Namibia;2212307
143;Nauru;9540
144;Nepal;31551305
145;Neukaledonien;271615
146;Neuseeland;4438393
147;Nicaragua;5907881
148;Niederlande;16947904
149;Niger;18045729
150;Nigeria;181562056
151;Niue;1190
152;Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;52344
153;Norfolkinsel;2210
154;Norwegen;5207689
155;Oman;3286936
156;ýýsterreich;8665550
157;Pakistan;199085847
158;Palau;21265
159;Panama;3657024
160;Papua-Neuguinea;6672429
161;Paraguay;6783272
162;Peru;30444999
163;Philippinen;100998376
164;Pitcairninseln;48
165;Polen;38562189
166;Portugal;10825309
167;Puerto_Rico;3598357
168;Ruanda;12661733
169;Rumï¿½ï¿½;21666350
170;Russische_Fï¿½ï¿½ï¿½ï;142423773
171;Salomonen;622469
172;Sambia;15066266
173;Samoa;197773
174;San_Marino;33020
175;Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½o_Tom;194006
176;Saudi-Arabien;27752316
177;Schweden;9801616
178;Schweiz;8121830
179;Senegal;13975834
180;Serbien;7176794
181;Seychellen;92430
182;Sierra_Leone;5879098
183;Simbabwe;14229541
184;Singapur;5674472
185;Sint_Maarten;39689
186;Slowakei;5445027
187;Slowenien;1983412
188;Somalia;10616380
189;Spanien;48146134
190;Spitzbergen;1872
191;Sri_Lanka;22053488
192;St._Barthï¿½ï¿½;7237
193;St._Helena,_Ascension_und_Tristan_da_Cunha;7795
194;St._Kitts_und_Nevis;51936
195;St._Lucia;163922
196;St._Martin;31754
197;St._Pierre_und_Miquelon;5657
198;St._Vincent_und_die_Grenadinen;102627
199;Sï¿½ï¿½ï¿½;53675563
200;Sudan;36108853
201;Sï¿½ï¿½ï¿;12042910
202;Suriname;579633
203;Swasiland;1435613
204;Syrien;17064854
205;Tadschikistan;8191958
206;Taiwan;23415126
207;Tansania;51045882
208;Thailand;67976405
209;Timor-Leste;1231116
210;Togo;7552318
211;Tokelau;1337
212;Tonga;106501
213;Trinidad_und_Tobago;1222363
214;Tschad;11631456
215;Tschechische_Republik;10644842
216;Tunesien;11037225
217;Tï¿½ï¿½;79414269
218;Turkmenistan;5231422
219;Turks-_und_Caicosinseln;50280
220;Tuvalu;10869
221;Uganda;37101745
222;Ukraine;44429471
223;Ungarn;9897541
224;Uruguay;3341893
225;Usbekistan;29199942
226;Vanuatu;272264
227;Vatikanstadt;842
228;Venezuela;29275460
229;Vereinigte_Arabische_Emirate;5779760
230;Vereinigte_Staaten;321368864
231;Vietnam;94348835
232;Wallis_und_Futuna;15613
233;Weihnachtsinsel;1530
234;Westjordanland;2785366
235;Westsahara;570866
236;Zentralafrikanische_Republik;5391539
237;Zypern;1189197
